Qual o estado que você mora?,Qual a sua idade?,Quantas vezes ao mês você faz compras em mercados?,"Qual a sua renda familiar, aproximadamente?",Extra,Carrefour,Pão de Açúcar,Rappi,James,iFood,Cornershop,Supermercado Now,Americanas Mercado,Uber,Não uso,Other,Ofertas de desconto em produtos nas prateleiras da loja (concentração BIG),Ofertas de desconto em produtos através de ativação no aplicativo (concentração BIG),Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra (concentração BIG),Produtos colecionáveis a partir das compras em loja (ex: campanha de selinhos) (concentração BIG),Acúmulo de pontos para troca por produtos ou cupons de desconto (concentração BIG),"Para você, qual a melhor forma de cadastro em programas de fidelidade?",Cartela de selinhos (conheço),Cashback  (conheço),Cupons de desconto  (conheço),Ativação de ofertas em aplicativos  (conheço),Acúmulo de pontos  (conheço),Acúmulo de milhas  (conheço),Cartão fidelidade  (conheço),Nenhum  (conheço),Cartela de selinhos (usei),Cashback (usei),Cupons de desconto (usei),Ativação de ofertas em aplicativos (usei),Acúmulo de pontos (usei),Acúmulo de milhas (usei),Cartão fidelidade (usei),Nenhum (usei),"Sim, já resgatei um produto","Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços","Sim, já recebi dinheiro de volta","Não, nunca resgatei nenhum prêmio",Quais são os melhores tipos de recompensa para você?,"Entre esses dois refrigerantes, qual o que você geralmente inclui em suas compras?","Se você estivesse próximo de completar sua cartela de selos para resgatar a sua recompensa, qual dos refrigerantes você compraria? (Pepsi 2x)","Se você estivesse próximo de completar sua cartela de selos para resgatar a sua recompensa, qual dos refrigerantes você compraria? (Coca 2x)","No programa de selos, a cada R$20,00 em compras no BIG, exceto no setor de Eletro, você acumula um selo. Considere que você fez a compra ao lado, o que você entende sobre esse mecanismo do programa?","Para receber uma sanduicheira, você precisa juntar 40 selos. Porém, juntando 60 selos, você poderia trocar por um micro-ondas. Você gastaria R$ 100 a mais do que o normal no supermercado em um mês para trocar pelo micro-ondas?",Por que você não juntaria mais selos para trocar pelo microondas?,Por que você não trocaria os seus selos rapidamente pela sanduicheira?,O que você acha de campanhas temáticas próximas de datas comemorativas?,"Depois que você trocou a quantidade de selos pelo seu produto preferido, com quanto tempo você gostaria de retirar o produto na loja?","Caso você tivesse com a cartela de selos completa e o estoque dos prêmios acabassem antes de você resgatar, você participaria de outra campanha de selos?","Digamos que você fez uma compra de R$200,00 no BIG e começou a acompanhar seu progresso no programa de pontos. Olhando para a imagem ao lado, quantos reais faltam para você alcançar 1 moeda?","Digamos que você tem 1 moeda no programa de pontos, você concentraria mais R$ 200,00 em compras no BIG em um mês para ganhar 3 moedas e trocar por um prêmio melhor?",Você instalaria o aplicativo do BIG para participar do programa de selinhos?
Bahia (BA),25 a 35 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,,,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Pessoas na loja ajudando no cadastro,,,,,Acúmulo de pontos,,,,,,,,Acúmulo de pontos,Acúmulo de milhas,,,"Sim, já resgatei um produto",,,"Sim, já recebi dinheiro de volta",,"Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Dinheiro de volta (Cashback),Cupons de desconto no BIG,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...)",Nenhum deles,,,Entendo que ganhei 2 selos referente a compra da Pepsi,"Sim, gastaria e trocaria pelo microondas",,Por causa da vantagem,Ótimo,No mesmo dia,Não,R$100,1,0
Paraíba (PB),45 a 55 anos,3 a 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,Carrefour,,,,,,,,Uber,,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,,,,Ativação de ofertas em aplicativos,,,,,,,,Ativação de ofertas em aplicativos,,,,,,,"Sim, já recebi descontos em outros serviços",,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Dinheiro de volta (Cashback),Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG",Pepsi,,Coca-Cola com selos em dobro,"Quanto mais comprar, mas será o crédito","Sim, gastaria e trocaria pelo microondas",,Preciso do microondas,Excelente,No mesmo mês,Sim,R$200,1,1
Pernambuco (PE),mais de 55 anos,Mais de 5 vezes ao mês,"De 10 a 20 salários mínimos (de R$ 10.450,01 a R$ 20.900,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,,,,,,,Cartão fidelidade,,,,,,Acúmulo de pontos,,,,,"Sim, já recebi descontos na loja",,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG,Dinheiro de volta (Cashback)",Nenhum deles,,,fidelidade,"Sim, gastaria e trocaria pelo microondas",,"acumulando mais pontos,tnho chance de escolher produto melhor",muito importante,No mesmo dia,Provavelmente,R$100,1,1
Rio Grande do Sul (RS),35 a 45 anos,3 a 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Pessoas na loja ajudando no cadastro,,Cashback,,,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,,,,,Acúmulo de pontos,,,,,,,,"Não, nunca resgatei nenhum prêmio","Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Dinheiro de volta (Cashback),Cupons de desconto no BIG",Nenhum deles,,,Legal,"Sim, gastaria e trocaria pelo microondas",,micro tem mais valor,Não gosto,No mesmo mês,Não,R$100,1,1
Rio de Janeiro (RJ),35 a 45 anos,3 a 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,Rappi,,,Cornershop,,,,,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Fazer o cadastro no próprio caixa,,,,,Acúmulo de pontos,,,,Cartela de selinhos,,,,,,,,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Dinheiro de volta (Cashback),Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,Deveria ser mais vantagem para valores maiores,"Sim, gastaria e trocaria pelo microondas",,Prêmio bobo e barato,Gosto,No mesmo dia,Depende da campanha,R$100,1,1
Rio Grande do Sul (RS),35 a 45 anos,3 a 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Pessoas na loja ajudando no cadastro,,,,,,,Cartão fidelidade,,,,,,,,Cartão fidelidade,,,,,,"Não, nunca resgatei nenhum prêmio","Cupons de desconto no BIG,Dinheiro de volta (Cashback),Eletrodomésticos,Cupons de descontos em lojas parceiras,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Seguros (ex: Seguro Residência\, Seguro Família...)",Coca-Cola,Coca-Cola,,"Entendi que recebi 2 selos, mas não sei para que serve.","Sim, gastaria e trocaria pelo microondas",,Prefiro um produto melhor,não me atrai,No mesmo dia,Não,R$200,0,0
Piauí (PI),mais de 55 anos,1 a 3 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,iFood,,,,,,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,Cartela de selinhos,,Cupons de desconto,,,Acúmulo de milhas,Cartão fidelidade,,Cartela de selinhos,,,,,Acúmulo de milhas,,,,"Sim, já recebi descontos na loja",,,,"Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG,Dinheiro de volta (Cashback)",Pepsi,,Coca-Cola com selos em dobro,Ótimo,"Sim, gastaria e trocaria pelo microondas",,Já tenho,Bom,No mesmo dia,Não,R$200,1,1
Pernambuco (PE),18 a 25 anos,3 a 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,,Cashback,,,,,Cartão fidelidade,,,Cashback,Cupons de desconto,,,,Cartão fidelidade,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços","Sim, já recebi dinheiro de volta",,"Dinheiro de volta (Cashback),Cupons de desconto no BIG,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...)",Coca-Cola,Pepsi com selos em dobro,,nada,"Sim, gastaria e trocaria pelo microondas",,porque o microondas é melhor,otimo,No mesmo dia,Não,R$100,1,1
Rio Grande do Sul (RS),45 a 55 anos,Mais de 5 vezes ao mês,"Acima de 20 salários mínimos (de R$ 20.900,01 em diante)",,Carrefour,,,,iFood,,,,,,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Terminal de auto atendimento na loja,,Cashback,Cupons de desconto,,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços",,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG,Dinheiro de volta (Cashback)",Nenhum deles,,,SELOS NO PROGRAMA 2,"Sim, gastaria e trocaria pelo microondas",,NÃO TROCARIA ESPERARIA  PARA TROCAR PELO MICRO,BOAS,No mesmo dia,Provavelmente,R$100,1,1
Santa Catarina (SC),mais de 55 anos,3 a 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,Cartela de selinhos,Cashback,,Ativação de ofertas em aplicativos,Acúmulo de pontos,,Cartão fidelidade,,Cartela de selinhos,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,,,Cartão fidelidade,,"Sim, já resgatei um produto",,,"Sim, já recebi dinheiro de volta",,"Dinheiro de volta (Cashback),Cupons de desconto no BIG,Cupons de descontos em lojas parceiras,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Seguros (ex: Seguro Residência\, Seguro Família...),Eletrodomésticos",Coca-Cola,Coca-Cola,,"Acumulando selos, assim que atingir um determinado número de selos numa cartela, posso resgatar um determinado prêmio.","Sim, gastaria e trocaria pelo microondas",,Vou acumular selos e trocar por um bem que é mais necessário no momento,Otimas,No mesmo dia,Sim,R$100,1,1
Paraíba (PB),35 a 45 anos,3 a 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,Cartela de selinhos,Cashback,,,Acúmulo de pontos,,Cartão fidelidade,,,Cashback,,Ativação de ofertas em aplicativos,Acúmulo de pontos,,,,,"Sim, já recebi descontos na loja",,"Sim, já recebi dinheiro de volta",,"Dinheiro de volta (Cashback),Eletrodomésticos,Cupons de descontos em lojas parceiras,Cupons de desconto no BIG,Seguros (ex: Seguro Residência\, Seguro Família...),Produtos colecionáveis (ex: Conjunto de talheres\, panelas...)",Coca-Cola,Coca-Cola,,que na compra referida ganhei 2 selos do programa big e você,"Sim, gastaria e trocaria pelo microondas",,pelo valor agregado dela,altamente comerciais para entrar no clima e fomentar as vendas e a economia,No mesmo dia,Provavelmente,R$100,1,1
Paraíba (PB),25 a 35 anos,1 a 3 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,Uber,,,,Ofertas de desconto em produtos através de ativação no aplicativo,,,,Cadastro pelo app,,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,,,,Ativação de ofertas em aplicativos,,,,,,,,"Sim, já recebi dinheiro de volta",,"Dinheiro de volta (Cashback),Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos",Pepsi,,Pepsi,nada,"Sim, gastaria e trocaria pelo microondas",,prefiro microondas,otimo,Na mesma semana,Depende da campanha,R$200,1,1
Alagoas (AL),mais de 55 anos,1 a 3 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Fazer o cadastro no próprio caixa,Cartela de selinhos,,,,,,,,,,,,Acúmulo de pontos,,,,,"Sim, já recebi descontos na loja",,,,"Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG,Dinheiro de volta (Cashback)",Nenhum deles,,,Não ganha o selo,"Não, fico com a sanduicheira",Porque já tenho,,,No mesmo dia,Sim,R$200,1,1
Pernambuco (PE),35 a 45 anos,3 a 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Fazer o cadastro no próprio caixa,,,Cupons de desconto,,,,,,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Cupons de desconto no BIG,Cupons de descontos em lojas parceiras,Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback)",Coca-Cola,Coca-Cola,,Não,"Sim, gastaria e trocaria pelo microondas",,Trocaria melhor  produto estou precisando,Aniversário do big,No mesmo dia,Não,R$50,1,0
